2023-01-18 13:10:18 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:10:29 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:13:36 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:13:38 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:13:47 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:13:47 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:19:08 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:19:08 - PHP Unknown:  Creation of dynamic property mysqli::$report_mode is deprecated in C:\xampp\htdocs\opencart\upload\system\library\db\mysqli.php on line 15
2023-01-18 13:19:08 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$database is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:19:08 - PHP Unknown:  Creation of dynamic property mysqli::$report_mode is deprecated in C:\xampp\htdocs\opencart\upload\system\library\db\mysqli.php on line 15
2023-01-18 13:19:13 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:19:13 - PHP Unknown:  Creation of dynamic property mysqli::$report_mode is deprecated in C:\xampp\htdocs\opencart\upload\system\library\db\mysqli.php on line 15
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Request::$request is deprecated in C:\xampp\htdocs\opencart\upload\system\library\request.php on line 27
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property mysqli::$report_mode is deprecated in C:\xampp\htdocs\opencart\upload\system\library\db\mysqli.php on line 15
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getStore is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getStoreByHostname is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getStores is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSettings is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSetting is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getValue is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLanguage is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLanguageByCode is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLanguages is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Session\DB::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\session\db.php on line 13
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Session\DB::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\session\db.php on line 14
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSeoUrlByKeyword is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getSeoUrlByKeyValue is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Customer::$config is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\customer.php on line 14
2023-01-18 13:22:20 - PHP Unknown:  Creation of dynamic property Opencart\System\Library\Cart\Customer::$db is deprecated in C:\xampp\htdocs\opencart\upload\system\library\cart\customer.php on line 15
